0	7088.98	8428.14	1217.24	8.032	7.49292	0	46.4227	79.7117	74.9292	7.47012	2.49004	0	1.2048	10	0	-10	0	0	0
0.025	7088.98	8428.14	1217.24	8.032	7.49292	0	46.4227	79.7117	74.9292	7.47012	2.49004	0	1.2048	10	0	-10	0	0	0
0.05	7088.67	8427.77	1217.19	8.032	7.49292	4.8e-05	46.4207	79.7086	74.9292	7.47012	2.49004	1.2048	1.2048	10	0	-10	0	0	0
0.075	7088.71	8427.82	1217.19	8.032	7.49292	4.8e-05	46.4209	79.7089	74.9292	7.47012	2.49004	2.4096	1.2048	10	0	-10	0	0	0
0.1	7088.74	8427.85	1217.2	8.032	7.49292	4.8e-05	46.4211	79.7091	74.9292	7.47012	2.49004	3.6144	1.2048	10	0	-10	0	0	0
0.125	7088.77	8427.89	1217.2	8.032	7.49292	4.8e-05	46.4213	79.7093	74.9292	7.47012	2.49004	4.8192	1.2048	10	0	-10	0	0	0
0.15	7088.79	8427.91	1217.2	8.032	7.49292	4.8e-05	46.4215	79.7094	74.9292	7.47012	2.49004	6.024	1.2048	10	0	-10	0	0	0
0.175	7088.82	8427.94	1217.21	8.032	7.49292	4.8e-05	46.4216	79.7096	74.9292	7.47012	2.49004	7.2288	1.2048	10	0	-10	0	0	0
0.2	7088.84	8427.96	1217.21	8.032	7.49292	4.8e-05	46.4218	79.7097	74.9292	7.47012	2.49004	8.4336	1.2048	10	0	-10	0	0	0
0.225	7088.85	8427.98	1217.21	8.032	7.49292	4.8e-05	46.4219	79.7098	74.9292	7.47012	2.49004	9.6384	1.2048	10	0	-10	0	0	0
0.25	7088.87	8428	1217.21	8.032	7.49292	4.8e-05	46.422	79.7098	74.9292	7.47012	2.49004	10.8432	1.2048	10	0	-10	0	0	0
0.275	7088.88	8428.02	1217.21	8.032	7.49292	4.8e-05	46.4221	79.7099	74.9292	7.47012	2.49004	12.048	1.2048	10	0	-10	0	0	0
0.3	7088.9	8428.04	1217.21	8.032	7.49292	4.8e-05	46.4222	79.7099	74.9292	7.47012	2.49004	13.2528	1.2048	10	0	-10	0	0	0
0.325	7088.92	8428.06	1217.21	8.032	7.49292	4.8e-05	46.4223	79.7098	74.9292	7.47012	2.49004	14.4576	1.2048	10	0	-10	0	0	0
0.35	7088.94	8428.09	1217.21	8.032	7.49292	4.8e-05	46.4224	79.7098	74.9292	7.47012	2.49004	15.6624	1.2048	10	0	-10	0	0	0
0.375	7088.96	8428.11	1217.21	8.032	7.49292	4.8e-05	46.4225	79.7098	74.9292	7.47012	2.49004	16.8672	1.2048	10	0	-10	0	0	0
0.4	7088.97	8428.13	1217.21	8.032	7.49292	4.8e-05	46.4226	79.7097	74.9292	7.47012	2.49004	18.072	1.2048	10	0	-10	0	0	0
0.425	7088.99	8428.15	1217.21	8.032	7.49292	4.8e-05	46.4228	79.7097	74.9292	7.47012	2.49004	19.2768	1.2048	10	0	-10	0	0	0
0.45	7089.01	8428.16	1217.21	8.032	7.49292	4.8e-05	46.4229	79.7096	74.9292	7.47012	2.49004	20.4816	1.2048	10	0	-10	0	0	0
0.475	7089.02	8428.18	1217.21	8.032	7.49292	4.8e-05	46.423	79.7096	74.9292	7.47012	2.49004	21.6864	1.2048	10	0	-10	0	0	0
0.5	7089.04	8428.2	1217.2	8.032	7.49292	4.8e-05	46.4231	79.7095	74.9292	7.47012	2.49004	22.8912	1.2048	10	0	-10	0	0	0
0.525	7089.05	8428.22	1217.2	8.032	7.49292	4.8e-05	46.4232	79.7094	74.9292	7.47012	2.49004	24.096	1.2048	10	0	-10	0	0	0
0.55	7089.06	8428.23	1217.2	8.032	7.49292	4.8e-05	46.4232	79.7095	74.9292	7.47012	2.49004	25.3008	1.2048	10	0	-10	0	0	0
0.575	7089.06	8428.23	1217.2	8.032	7.49292	4.8e-05	46.4232	79.7095	74.9292	7.47012	2.49004	26.5056	1.2048	10	0	-10	0	0	0
0.6	7089.06	8428.23	1217.2	8.032	7.49292	4.8e-05	46.4232	79.7095	74.9292	7.47012	2.49004	27.7104	1.2048	10	0	-10	0	0	0
0.625	7089.07	8428.24	1217.2	8.032	7.49292	4.8e-05	46.4233	79.7095	74.9292	7.47012	2.49004	28.9152	1.2048	10	0	-10	0	0	0
0.65	7089.07	8428.24	1217.21	8.032	7.49292	4.8e-05	46.4233	79.7096	74.9292	7.47012	2.49004	30.12	1.2048	10	0	-10	0	0	0
0.675	7089.07	8428.25	1217.21	8.032	7.49292	4.8e-05	46.4233	79.7096	74.9292	7.47012	2.49004	31.3248	1.2048	10	0	-10	0	0	0
0.7	7089.08	8428.25	1217.21	8.032	7.49292	4.8e-05	46.4233	79.7096	74.9292	7.47012	2.49004	32.5296	1.2048	10	0	-10	0	0	0
0.725	7089.08	8428.26	1217.21	8.032	7.49292	4.8e-05	46.4234	79.7096	74.9292	7.47012	2.49004	33.7344	1.2048	10	0	-10	0	0	0
0.75	7089.09	8428.26	1217.21	8.032	7.49292	4.8e-05	46.4234	79.7097	74.9292	7.47012	2.49004	34.9392	1.2048	10	0	-10	0	0	0
0.775	7089.09	8428.26	1217.21	8.032	7.49292	4.8e-05	46.4234	79.7098	74.9292	7.47012	2.49004	36.144	1.2048	10	0	-10	0	0	0
0.8	7089.08	8428.25	1217.21	8.032	7.49292	4.8e-05	46.4233	79.7099	74.9292	7.47012	2.49004	37.3488	1.2048	10	0	-10	0	0	0
0.825	7089.07	8428.24	1217.21	8.032	7.49292	4.8e-05	46.4233	79.71	74.9292	7.47012	2.49004	38.5536	1.2048	10	0	-10	0	0	0
0.85	7089.07	8428.24	1217.21	8.032	7.49292	4.8e-05	46.4233	79.7101	74.9292	7.47012	2.49004	39.7584	1.2048	10	0	-10	0	0	0
0.875	7089.06	8428.23	1217.22	8.032	7.49292	4.8e-05	46.4232	79.7103	74.9292	7.47012	2.49004	40.9632	1.2048	10	0	-10	0	0	0
0.9	7089.06	8428.22	1217.22	8.032	7.49292	4.8e-05	46.4232	79.7104	74.9292	7.47012	2.49004	42.168	1.2048	10	0	-10	0	0	0
